group_id,participants,player_id,round_number,quantity,group_commodities,starting_points,costs,utilities,individual_commodities,nonparticipant_taxes,created,treatment,gamma,price,created_withinround
1,"[1, 2]",1,2,6,"[6, 0, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[735.0, 735.0, 465.0, 465.0]","[121.6141439142668, 139.96428115772966, 145.63653387800738, 161.27616066858735]","[2465.0, 3265.0, 3535.0, 4335.0]","[0.0, 0.0, 465.0, 465.0]",20/07/2023 10:53:59,MGL,15,400,21.311482906341553
1,"[1, 2]",2,2,9,"[6, 9, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1533.75, 1533.75, 1466.25, 1466.25]","[158.0941175376238, 192.3375938291836, 194.95191714881904, 223.62077273813364]","[1666.25, 2466.25, 2533.75, 3333.75]","[0.0, 0.0, 1466.25, 1466.25]",20/07/2023 10:54:01,MGL,15,400,24.084012746810913
1,"[1, 2]",2,2,10,"[6, 10, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1660.0, 1660.0, 1540.0, 1540.0]","[156.97133496278866, 193.49418595916518, 198.39354828219592, 228.38563877792316]","[1540.0, 2340.0, 2460.0, 3260.0]","[0.0, 0.0, 1540.0, 1540.0]",20/07/2023 10:54:05,MGL,15,400,27.495032787322998
1,"[1, 2]",2,2,11,"[6, 11, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1793.75, 1793.75, 1606.25, 1606.25]","[154.61646096066227, 193.6653040686431, 201.7269193736919, 233.01019291009567]","[1406.25, 2206.25, 2393.75, 3193.75]","[0.0, 0.0, 1606.25, 1606.25]",20/07/2023 10:54:05,MGL,15,400,28.125142574310303
1,"[1, 2]",2,2,12,"[6, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1935.0, 1935.0, 1665.0, 1665.0]","[150.89731607951148, 192.79522815671552, 205.0121947592386, 237.54999473794985]","[1265.0, 2065.0, 2335.0, 3135.0]","[0.0, 0.0, 1665.0, 1665.0]",20/07/2023 10:54:06,MGL,15,400,28.68916893005371
1,"[1, 2]",1,2,7,"[7, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1993.75, 1993.75, 1806.25, 1806.25]","[151.38939857202686, 195.24023663169436, 204.159863832243, 238.49790355472732]","[1206.25, 2006.25, 2193.75, 2993.75]","[0.0, 0.0, 1806.25, 1806.25]",20/07/2023 10:54:09,MGL,15,400,31.96782636642456
1,"[1, 2]",1,2,8,"[8, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2060.0, 2060.0, 1940.0, 1940.0]","[150.996688705415, 196.9771560359221, 202.9778313018444, 239.165214862028]","[1140.0, 1940.0, 2060.0, 2860.0]","[0.0, 0.0, 1940.0, 1940.0]",20/07/2023 10:54:10,MGL,15,400,32.449249267578125
1,"[1, 2]",1,2,9,"[9, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2133.75, 2133.75, 2066.25, 2066.25]","[149.63706091740775, 197.9678004120872, 201.51612838678696, 239.60123121553445]","[1066.25, 1866.25, 1933.75, 2733.75]","[0.0, 0.0, 2066.25, 2066.25]",20/07/2023 10:54:10,MGL,15,400,32.9616584777832
1,"[1, 2]",1,2,10,"[10, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2215.0, 2215.0, 2185.0, 2185.0]","[147.20733677368122, 198.1665965797465, 199.82492337043448, 239.85412233272123]","[985.0, 1785.0, 1815.0, 2615.0]","[0.0, 0.0, 2185.0, 2185.0]",20/07/2023 10:54:11,MGL,15,400,33.5330855846405
1,"[1, 2]",1,2,11,"[11, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2303.75, 2303.75, 2296.25, 2296.25]","[143.57489334838453, 197.5189864291532, 197.95517169298708, 239.97135245691302]","[896.25, 1696.25, 1703.75, 2503.75]","[0.0, 0.0, 2296.25, 2296.25]",20/07/2023 10:54:11,MGL,15,400,34.06234407424927
